SEASON,BASIN,NATURE,LAT,LON,WIND,DIST2LAND,STORM_SPEED,STORM_DIR,TD9636_STAGE
Summer,SP,TS,-28.9,158.6,48.0,486,26.0,150.0,2.0
Summer,SP,TS,-30.0,159.2,50.0,555,24.0,150.0,2.0
Summer,SP,TS,-31.0,159.9,53.0,643,22.0,150.0,2.0
Summer,SP,MX,-31.9,160.4,55.0,696,22.0,160.0,2.0
Summer,SP,TS,-33.0,160.8,58.0,754,21.0,170.0,2.0
Summer,SP,TS,-34.0,160.9,60.0,793,20.0,185.0,2.0
Summer,SP,TS,-35.0,160.7,60.0,810,20.0,195.0,2.0
Summer,SP,TS,-35.9,160.2,60.0,807,20.0,205.0,2.0
Summer,SP,TS,-36.8,159.7,60.0,818,19.0,210.0,2.0
Summer,SP,TS,-37.5,159.0,60.0,775,15.0,220.0,2.0
Summer,SP,TS,-38.0,158.4,60.0,732,12.0,230.0,2.0
Summer,SP,TS,-38.3,157.8,60.0,683,12.0,235.0,2.0
Summer,SP,TS,-38.6,157.1,58.0,628,12.0,235.0,2.0
Summer,SP,TS,-39.0,156.5,55.0,589,14.0,225.0,2.0
Summer,SP,TS,-39.6,155.9,50.0,562,16.0,215.0,2.0
Summer,SP,TS,-40.3,155.3,45.0,553,16.0,215.0,2.0
Summer,SP,TS,-40.9,154.6,40.0,519,16.0,215.0,2.0
Summer,SP,TS,-41.6,154.0,35.0,466,17.0,210.0,2.0
Summer,SP,TS,-42.4,153.4,33.0,410,17.0,210.0,2.0
Summer,SP,TS,-43.1,152.9,30.0,380,17.0,205.0,2.0
Summer,SP,TS,-43.9,152.4,30.0,361,15.0,205.0,2.0
Summer,SP,TS,-44.5,152.0,30.0,350,11.0,205.0,1.0
Summer,SP,TS,-44.9,151.7,30.0,349,7.0,205.0,1.0
Summer,SP,TS,-45.1,151.6,30.0,355,4.0,0.0,1.0
Summer,SP,TS,-45.3,151.7,30.0,375,5.0,145.0,1.0
Summer,SP,TS,-45.5,152.0,30.0,407,8.0,140.0,1.0
Summer,SP,TS,-45.9,152.4,28.0,458,11.0,135.0,1.0
Summer,SP,TS,-46.3,153.1,25.0,528,13.0,130.0,1.0
Summer,SP,TS,-46.7,153.9,25.0,604,15.0,120.0,1.0
Summer,SP,TS,-47.0,155.0,25.0,690,16.0,105.0,1.0
Summer,SP,TS,-47.2,156.2,25.0,778,18.0,95.0,1.0
Summer,SP,TS,-47.2,157.7,25.0,677,21.0,90.0,1.0
Summer,SP,TS,-47.1,159.3,25.0,557,23.0,85.0,1.0
Summer,SP,TS,-47.0,161.0,25.0,429,23.0,85.0,1.0
